adult,belongs_to_collection,sequel,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,War,TV_Movie,Horror,Western,Foreign,Comedy,Documentary,Science_Fiction,Mystery,Fantasy,Crime,Action,Adventure,Drama,Thriller,Family,Animation,Romance,History,Music,vote_total
False,Toy Story Collection,1,30000000.0,"['Animation', 'Comedy', 'Family']",http://toystory.disney.com/toy-story,862,tt0114709,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,['Pixar Animation Studios'],['US'],10/30/1995,373554033.0,81,['en'],Released,,Toy Story,False,7.7,5415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,41695.5
False,,0,65000000.0,"['Adventure', 'Fantasy', 'Family']",,8844,tt0113497,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['US'],12/15/1995,262797249.0,104,"['en', 'fr']",Released,Roll the dice and unleash the excitement!,Jumanji,False,6.9,2413,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,16649.7
False,,0,16000000.0,"['Comedy', 'Drama', 'Romance']",,31357,tt0114885,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,['Twentieth Century Fox Film Corporation'],['US'],12/22/1995,81452156.0,127,['en'],Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,False,6.1,34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,207.39999999999998
False,Father of the Bride Collection,1,15000000.0,['Comedy'],,11862,tt0113041,en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519000000001,/e64sOI48hQXyru7naBFyssKFxVd.jpg,"['Sandollar Productions', 'Touchstone Pictures']",['US'],2/10/1995,76578911.0,106,['en'],Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,False,5.7,173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.1
False,,0,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",,949,tt0113277,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['US'],12/15/1995,187436818.0,170,"['en', 'es']",Released,A Los Angeles Crime Saga,Heat,False,7.7,1886,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,14522.2
False,,0,35000000.0,"['Action', 'Adventure', 'Thriller']",,9091,tt0114576,en,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['US'],12/22/1995,64350171.0,106,['en'],Released,Terror goes into overtime.,Sudden Death,False,5.5,174,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,957.0
False,James Bond Collection,1,58000000.0,"['Adventure', 'Action', 'Thriller']",http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686035999999998,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,"['United Artists', 'Eon Productions']","['GB', 'US']",11/16/1995,352194034.0,130,"['en', 'ru', 'es']",Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,7880.4
False,,0,62000000.0,"['Comedy', 'Drama', 'Romance']",,9087,tt0112346,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"['Columbia Pictures', 'Castle Rock Entertainment']",['US'],11/17/1995,107879496.0,106,['en'],Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,False,6.5,199,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1293.5
False,Balto Collection,1,15000000.0,"['Family', 'Animation', 'Adventure']",,21032,tt0112453,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['US'],12/22/1995,11348324.0,78,['en'],Released,Part Dog. Part Wolf. All Hero.,Balto,False,7.1,423,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3003.2999999999997
False,,0,44000000.0,"['History', 'Drama']",,10858,tt0113987,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['US'],12/22/1995,13681765.0,192,['en'],Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,False,7.1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,511.2
False,,0,98000000.0,"['Action', 'Adventure']",,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477000000001,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['FR', 'DE', 'IT', 'US']",12/22/1995,10017322.0,119,"['en', 'la']",Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,780.9
False,,0,52000000.0,"['Drama', 'Crime']",,524,tt0112641,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['FR', 'US']",11/22/1995,116112375.0,178,['en'],Released,No one stays at the top forever.,Casino,False,7.8,1343,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10475.4
False,,0,16500000.0,"['Drama', 'Romance']",,4584,tt0114388,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"['Columbia Pictures Corporation', 'Mirage Enterprises']","['GB', 'US']",12/13/1995,135000000.0,136,['en'],Released,Lose your heart and come to your senses.,Sense and Sensibility,False,7.2,364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2620.8
